dog_breed,dog_map,cat_breed,cat_map
Affenpinscher,,Abyssinian,
Afghan Hound,,American Bobtail,
Airedale Terrier,,American Bobtail Shorthair,
Akita,,American Curl,
Alapaha Blue Blood Bulldog,Bulldog,American Curl Longhair,American Longhair
Alaskan Klee Kai,,American Shorthair (purebred),
Alaskan Malamute,,American Wirehair (purebred),American Wirehair
Alpine Dachsbracke,Dachsbrackes,Ashera,Savannah
American Bandogge Mastiff,Mastiff,Balinese,
American Bulldog,,Bengal,
American Cocker Spaniel,,Birman,
American English Coonhound,English Coonhound,Bombay,
American Eskimo Dog,,British Longhair,Domestic Longhair
American Foxhound,,British Shorthair,
American Mastiff,Mastiff,Burmese,
American Pit Bull Terrier,Pit Bull,Burmilla,
American Staffordshire Terrier,,Canadian Hairless (Sphynx),Sphynx
American Water Spaniel,,Chartreux,
American White Shepherd,Shepherd Mix,Chausie,
Anatolian Shepherd Dog,,Chinchilla,
Appenzeller Sennenhunde,Appenzell Mountain Dog,Colorpoint Shorthair,
Argentine Dogo,Dogo Argentino,Cornish Rex,
Australian Cattle Dog,,Cymric,
Australian Kelpie,,Devon Rex,
Australian Shepherd,,Domestic Longhair,
Australian Terrier,,Domestic Mediumhair,
Azawakh,,Domestic Shorthair,
Bagel,Beagle Mix,Donskoy,Sphynx
Basenji,,Egyptian Mau,
Basset Hound,,European Burmese,
Beabull,Beagle Mix,Exotic,
Beagle,,Habari,Savannah
Bearded Collie,,Havana Brown,
Beauceron,,Highlander,Highland Lynx Cat 
Bedlington Terrier,,Highlander Shorthair,Highland Lynx Cat
Belgian Laekenois,Belgian Shepherd,Himalayan,
Belgian Malinois,,Japanese Bobtail,
Belgian Sheepdog,,Japanese Bobtail Longhair,
Belgian Shepherd,,Javanese,Oriental Longhair
Belgian Tervuren,Belgian Shepherd Tervuren,Kashmir,
Bergamasco,,Korat,
Berger De Picard,Picardy Shepherd,Kurilian Bobtail,Japanese Bobtail 
Bernese Mountain Dog,,Kurilian Bobtail Long Hair,Japanese Bobtail
Bichon Frise,,LaPerm,
Bichpoo,,LaPerm Shorthair,
Biewer,Biewer Terrier,Maine Coon,
Black and Tan Coonhound,,Manx,
Black Mouth Cur,,Minskin,
Black Russian Terrier,,Mixed Breed,Mixed Cat
Bloodhound,,Munchkin,
