healthy_paws_breed,action,healthy_paws_breed_id,
Affenpinscher,x,1000,
Afghan Hound,x,1001,
African Boerboel,Boerboel,1034,
Ainu Dog,Japanese Spitz,1116,
Airedale Terrier,x,1002,
Akbash,**Remove from our list**,,
Akita,x,1003,
Alapaha Blue Blood Bulldog,Bulldog (american),1048,
Alaskan Husky,x,1004,
Alaskan Klee Kai,Alaskan Husky,1004,
Alaskan Malamute,x,1005,
Alpine Dachsbracke,**Remove from our list**,,
American Allaunt,**Remove from our list**,,
American Alsatian,**Remove from our list**,,
American Bandogge Mastiff,Crossbreed Small: 11 - 30 lbs,112,
American Barbet,**Remove from our list**,,
American Bulldog,Bulldog (american),1048,
American Bully,American Staffordshire Terrier,1012,
American Cocker Spaniel,x,1007,
American English Coonhound,x,1008,
American Eskimo Dog,x,1009,
American Foxhound,x,1010,
American Hairless Terrier,Rat Terrier,1177,
American Indian Dog,American Indian,163,
American Mastiff,Mastiff,1138,
American Pit Bull Terrier,x,1011,
American Staffordshire Terrier,x,1012,
American Water Spaniel,x,1013,
American White Shepherd,**Remove from our list**,,
Anatolian Shepherd Dog,x,1014,
Anglo-french Hounds,**Remove from our list**,,
Appenzell Mountain Dog,Greater Swiss Mountain Dog,1100,
Appenzeller Sennenhunde,Greater Swiss Mountain Dog,1100,
Argentine Dogo,**Remove from our list**,,
Ariegeois,Crossbreed,177,
Armant,**Remove from our list**,,
Artois Hound,**Remove from our list**,,
Arubian Cunucu,**Remove from our list**,,
Atlas Dog,**Remove from our list**,,
Australian Cattle Dog,x,1015,
Australian Kelpie,Australian Cattle Dog,1015,
Australian Shepherd,x,1016,
Australian Silky Terrier,Australian Terrier,1017,
Australian Terrier,x,1017,
Austrian Coarse-haired Hound,**Remove from our list**,,
Austrian Hound,**Remove from our list**,,
Austrian Short-haired Pinscher,German Pinscher,1090,
Auvergne Setter,Pointer,1166,
Azawakh,**Remove from our list**,,
Bagel,Crossbreed Medium: 31 - 59 lbs,113,
Balkan Hound,**Remove from our list**,,
Banjara Greyhound,Greyhound,1101,
Barbet,American Water Spaniel,1013,
Basenji,x,1018,
Basset Artesien Normand,Basset Hound,1019,
Basset Griffon Vandeen,Petit Basset Griffon Vendeen,1163,
Basset Hound,x,1019,
Bavarian Mountain Dog,**Remove from our list**,,
Beabull,Crossbreed Medium: 31 - 59 lbs,113,
Beagle,x,1020,
Beagle Harrier,Harrier,1102,
Beagle Mix,x,166,
Bearded Collie,x,1021,
Beauce Shepherd,Beauceron,1022,
Beauceron,x,1022,
Bedlington Terrier,x,1023,
Belgian Laekenois,Belgian Sheepdog,1025,
Belgian Malinois,x,1024,
Belgian Sheepdog,x,1025,
Belgian Shepherd,Belgian Sheepdog,1025,
Belgian Shepherd Malinois,Belgian Malinois,1024,
Belgian Shepherd Tervuren,Belgian Tervuren,1026,
Belgian Tervuren,x,1026,
Bergamasco,**Remove from our list**,,
Berger De Bresse,**Remove from our list**,,
Berger De Picard,**Remove from our list**,,
Berger De Savoie,**Remove from our list**,,
Berger Du Languedoc,**Remove from our list**,,
Bernese Hound,**Remove from our list**,,
Bernese Mountain Dog,x,1027,
Bichon Frise,x,1028,
Bichon Mix,Crossbreed Small: 11 - 30 lbs,112,
Bichpoo,Crossbreed Toy: 1 - 10 lbs,111,
Biewer,**Remove from our list**,,
Billy,**Remove from our list**,,
Black and Tan Coonhound,x,1029,
Black Forest Hound,**Remove from our list**,,
Black Mouth Cur,Mountain Cur,1145,
Black Russian Terrier,x,1030,
Bloodhound,x,1032,
Blue Heeler,x,1033,
Blue Lacy,**Remove from our list**,,
Blue Picardy Spaniel,**Remove from our list**,,
Bluetick Coonhound,Coonhound,1066,
Boerboel,x,1034,
Bolognese,x,1035,
Border Collie,x,1036,
Border Collie Mix,Mixed Breed Medium: 31 - 59 lbs,103,
Border Terrier,x,1037,
Borzoi,x,1038,
Bosnian Coarse-haired Hound,**Remove from our list**,,
Boston Terrier,x,1039,
Bourbonnais Setter,Pointer,1166,
Bouvier Des Flandres,Bouviers des Flandres,1040,
Boxer,x,1041,
Boykin Spaniel,x,1042,
Bracco Italiano,x,1043,
Braque Du Bourbonnais,Pointer,1166,
Braque Francais,Pointer,1166,
Brazilian Guard Dog,Mastiff,1138,
Brazilian Tracker,**Remove from our list**,,
Briard,x,1044,
Briquet Griffon Vendeen,**Remove from our list**,,
Brittany,Brittany Spaniel,1045,
Broholmer,Mastiff,1138,
Brussels Griffon,x,1046,
Bugg,Crossbreed Small: 11 - 30 lbs,112,
Bull Terrier,x,1047,
Bulldog,Bulldog (american),1048,
Bulldog Mix,x,168,
Bullmastiff,x,1049,
Bulloxer,Boxer Mix,167,
Cairn Terrier,x,1050,
Canaan Dog,x,1051,
Canadian Husky,Alaskan Husky,1004,
Cane Corso,x,1053,
Cardigan Corgis,**Remove from our list**,,
Cardigan Welsh Corgi,x,1054,
Carolina Dog,**Remove from our list**,,
Catahoula Leopard Dog,x,1055,
Catalonian Shepherd,**Remove from our list**,,
Caucasian Mountain Dog,x,1056,
Cavachon,Crossbreed Small: 11 - 30 lbs,112,
Cavalier King Charles Spaniel,x,1057,
Cavapoo,x,169,
Central Asian Shepherd Dog,Shepherd Mix,200,
Cesky Terrier,x,1058,
Charplaninatz,**Remove from our list**,,
Chesapeake Bay Retriever,x,1059,
Chihuahua,x,1060,
Chihuahua Mix,x,170,
Chinese Crested,x,1061,
Chinese Imperial,**Remove from our list**,,
Chinese Shar-Pei,**Remove from our list**,,
Chinook,x,1062,
Chiweenie,Chihuahua Mix,170,
Chorkie,Chihuahua Mix,170,
Chow Chow,x,1063,
Chow Mix,Chow Chow Mix,171,
Chug,Chihuahua Mix,170,
Clumber Spaniel,x,1064,
Cockapoo,x,172,
Cocker Spaniel,American Cocker Spaniel,1007,
Collie,x,1065,
Coon Hound,Coonhound,1066,
Corgi Mix,x,176,
Coton de Tulear,x,1067,
Curly-Coated Retriever,x,1068,
Czech Coarse-haired Setter,**Remove from our list**,,
Czech Shepherd,**Remove from our list**,,
Czechoslovakian Wolfdog,Wolf Mix,205,
Dachshund,x,1069,
Dachsund Mix,x,178,
Dalmatian,x,1070,
Dalmatian Mix,Mixed Breed (I'm a Mutt!),161,
Dandie Dinmont Terrier,x,1071,
Danish-Swedish Farm,**Remove from our list**,,
Deerhound,Scottish Deerhound,1186,
Deutsche Wachtelhund,**Remove from our list**,,
Dingo,Wolf Mix,205,
Doberman Pinscher,x,1072,
Dogue de Bordeaux,x,1073,
Dorgie,Corgi Mix,176,
Drentse Partridge Dog,**Remove from our list**,,
Drever,**Remove from our list**,,
Dunker,**Remove from our list**,,
Dupuy Setter,**Remove from our list**,,
Dutch Sheepdog,**Remove from our list**,,
Dutch Shepherd,**Remove from our list**,,
Elkhound,Norwegian Elkhound,1153,
English Bull Terrier,Bull Terrier,1047,
English Bulldog,x,1074,
English Cocker Spaniel,x,1075,
English Coonhound,x,1076,
English Foxhound,x,1077,
English Mastiff,x,1078,
English Pointer,Pointer,1166,
English Retriever,Golden Retriever,1096,
English Setter,x,1079,
English Shepherd,**Remove from our list**,,
English Springer Spaniel,x,1080,
English Toy Spaniel,x,1081,
English Toy Terrier,Manchester Terrier,1137,
Entlebucher Mountain Dog,Greater Swiss Mountain Dog,1100,
Eskimo Dog,American Eskimo Dog,1009,
Estonian Hound,**Remove from our list**,,
Estrela Mountain Dog,**Remove from our list**,,
Eurasier,Spitz,1203,
Feist,**Remove from our list**,,
Fell Terrier,Lakeland Terrier,1128,
Field Spaniel,x,1082,
Fila Brasileiro,Mastiff,1138,
Finnish Hound,x,1083,
Finnish Lapphund,x,1084,
Finnish Spitz,Spitz,1203,
Flat-Coated Retriever,x,1085,
Fox Terrier,x,1086,
French Bulldog,x,1087,
French Hounds,**Remove from our list**,,
French Setter,**Remove from our list**,,
French Spaniel,x,1089,
Frenchie Pug,Crossbreed Small: 11 - 30 lbs,112,
Frenchton,Crossbreed Small: 11 - 30 lbs,112,
Gascons-saintongeois,**Remove from our list**,,
German Hunt Terrier,**Remove from our list**,,
German Pinscher,x,1090,
German Shepherd Dog,x,1091,
German Shorthaired Pointer,x,1092,
German Spaniel,**Remove from our list**,,
German Spitz,Spitz,1203,
German Wirehaired Pointer,x,1093,
Giant Schnauzer,x,1094,
Glen of Imaal Terrier,x,1095,
Golden Retriever,x,1096,
Goldendoodle,x,180,
Gordon Setter,x,1097,
Grand Basset Griffon Vendeen,Petit Basset Griffon Vendeen,1163,
Grand Bleu de Gascoigne,**Remove from our list**,,
Grand Gascons-Saintongeois,**Remove from our list**,,
Great Bernese,Bernese Mountain Dog,1027,
Great Dane,x,1098,
Great Dane Mix,x,181,
Great Gascony Blue,**Remove from our list**,,
Great Pyrenees,x,1099,
Greater Swiss Mountain Dog,x,1100,
Greenland Dog,Spitz,1203,
Greyhound,x,1101,
Haldenstovare,**Remove from our list**,,
Hamiltonstovare,English Foxhound,1077,
Hanover Hound,**Remove from our list**,,
Harlequin Pinscher,Miniature Pinscher,1142,
Harrier,x,1102,
Havanese,x,1103,
Havashu,Crossbreed Small: 11 - 30 lbs,112,
Hellenic Hound,**Remove from our list**,,
Hound Mix,Mixed Breed (I'm a Mutt!),161,
Hovawart,x,1104,
Hungarian Coarse-Haired Vizsla,Vizsla,1221,
Hungarian Greyhound,Greyhound,1101,
Hungarian Kuvasz,Kuvasz,1125,
Hungarian Puli,Puli,1172,
Hungarian Vizsla,Vizsla,1221,
Husky,Alaskan Husky,1004,
Hygenhund,**Remove from our list**,,
Ibizan Hound,x,1105,
Ibizan Wolfhound,Ibizan Hound,1105,
Icelandic Sheepdog,x,1106,
Irish Red and White Setter,x,1108,
Irish Red Setter,Irish Setter,1109,
Irish Setter,x,1109,
Irish Terrier,x,1110,
Irish Water Spaniel,x,1111,
Irish Wolfhound,x,1112,
Istrian Hounds,**Remove from our list**,,
Italian Greyhound,x,1113,
Italian Mastiff,Cane Corso,1053,
Italian Setter,Bracco Italiano,1043,
Italian Spinone,Spinoni Italian,1202,
Italian Spitz,Spitz,1203,
Jack Russell Terrier,x,1114,
Jamthund,Norwegian Elkhound,1153,
Japanese Akita,Akita,1003,
Japanese Chin,x,1115,
Japanese Fighting Dog,Mastiff,1138,
Japanese Kishu,Spitz,1203,
Japanese Spitz,x,1116,
Japanese Terrier,x,1117,
Jindo,Spitz,1203,
Jug,Crossbreed Small: 11 - 30 lbs,112,
Jura Hounds,**Remove from our list**,,
Kai Ken,Kai Dog,1118,
Kangal Dog,Mastiff,1138,
Kangaroo Hound,**Remove from our list**,,
Karelian Bear Dog,x,1119,
Karst Shepherd,**Remove from our list**,,
Keeshond,Keeshonden (Keeshond),1120,
Kerry Blue Terrier,x,1121,
King Charles Spaniel,King Charles & Ruby English Toy Spaniel,1122,
King Shepherd,x,1123,
Komondor,x,1124,
Kooikerhondje,**Remove from our list**,,
Koolie,Australian Cattle Dog,1015,
Kromfohrlander,**Remove from our list**,,
Kuvasz,x,1125,
Labradoodle,x,183,
Labrador Mix,x,184,
Labrador Retriever,x,1126,
Lagotto Romagnolo,x,1127,
Laikas,Siberian Husky,1194,
Lakeland Terrier,x,1128,
Lancashire Heeler,x,1129,
Landseer,x,1131,
Lapland Spitz,Spitz,1203,
Lapponian Herder,Finnish Lapphund,1084,
Large Munsterlander,Large Munsterlander,1132,
Leonberger,x,1133,
Levesque,**Remove from our list**,,
Lhasa Apso,x,1134,
Lhasa Apso Mix,Mixed Breed Small: 11 - 30 lbs,102,
Llewellin Setter,English Setter,1079,
Longhaired Whippet,Whippet,1226,
Lowchen,x,1135,
Lucas Terrier,**Remove from our list**,,
Lucernese Hound,**Remove from our list**,,
Lundehund,Spitz,1203,
Lurcher,Crossbreed,177,
Majestic Tree Hound,**Remove from our list**,,
Majorcan Bulldog,**Remove from our list**,,
Mal-Shi,Crossbreed Toy: 1 - 10 lbs,111,
Maltese,x,1136,
Malti-Poo,Maltipoo,185,
Manchester Terrier,x,1137,
Maremma,**Remove from our list**,,
Mastiff,x,1138,
Mastiff Mix,x,186,
McNab,Border Collie,1036,
Mexican Hairless Dog,Mexican Hairless,1139,
MI-KI,Mi Ki,187,
Miniature American Eskimo,American Eskimo Dog,1009,
Miniature Australian Shepherd,,1140,
Miniature Bull Terrier,x,1141,
Miniature Dachshund,Dachshund,1069,
Miniature English Bulldog,English Bulldog,1074,
Miniature Husky,**Remove from our list**,,
Miniature Pinscher,x,1142,
Miniature Poodle,x,1143,
Miniature Pug,Pug,1171,
Miniature Schnauzer,x,1144,
Miniature Spitz,Spitz,1203,
Miniature Yorkie,Yorkshire Terrier,1229,
Mixed Breed,Mixed Breed (I'm a Mutt!),161,
Morkie,Mixed Breed Toy: 1 - 10 lbs,101,
Mountain Cur,x,1145,
Mountain Dog Mix,Mixed Breed (I'm a Mutt!),161,
Mountain Feist,Mixed Breed (I'm a Mutt!),161,
Mudi,x,1146,
Native American Indian Dog,American Indian,163,
Neapolitan Mastiff,x,1148,
New Guinea Singing Dog,x,1149,
Newfoundland,x,1150,
Nivernais Griffon,**Remove from our list**,,
Norfolk Terrier,x,1151,
Norrbottenspets,Spitz,1203,
Norwegian Buhund,Spitz,1203,
Norwegian Elkhound,x,1153,
Norwegian Lundehund,Spitz,1203,
