pets_best,our_list,action
Abyssinian,Abyssinian,x
American Bobtail,Alley Cat,Domestic Short Hair
American Hairless,American Bobtail,x
American Shorthair,American Bobtail Shorthair,American Bobtail
Angora,American Shorthair,x
Asian,American Shorthair (purebred),American Shorthair
Balinese,American Wirehair (purebred),American Shorthair
Bengal,Angora,x
Birman,Ashera,Savannah
Bombay,Balinese,x
British,Bengal,x
British Black,Bengalese,Bengal
British Blue,Birman,x
British Shorthair,Bombay,x
Burmese,British Longhair,British
Burmilla,British Shorthair,British Shorthair
Calico,Burmese,x
Californian Spangled,Burmilla,x
Chartruex,Calico,x
Chinchilla,California Spangled,x
Colour Point,Canadian Hairless (Sphynx),Sphynx
Cornish Rex,Chartreux,x
Devon Rex,Chausie,Mixed
Domestic Long Hair,Chinchilla,x
Domestic Medium Hair,Colorpoint,Colour Point
Domestic Short Hair,Colorpoint Longhair,Colour Point
Egyptian Mau,Colorpoint Shorthair,Colour Point
Exotic,Cornish Rex,x
Feral,Devon Rex,x
Foreign Short Hair,Domestic Longhair,Domestic Long Hair
Havana,Domestic Mediumhair,Domestic Medium Hair
Himalayan,Domestic Shorthair,Domestic Short Hair
Japanese Bobtail,Dwarf Cat,munchkin
Japanese Short Hair,Egyptian Mau,x
Korat,European Burmese,Burmese
Maine Coon,European Shorthair,Domestic Short Hair
Manx,Exotic,x
Mixed,Exotic Longhair,Exotic
munchkin,Exotic Shorthair,Exotic
Non Pedigree,Havana Brown,Havana
Norwegian Forest Cat,Highland Fold,Scottish Fold
Ocicat,Himalayan,x
Oriental,Himalayan Blue Point,Himalayan
Persian,Himalayan Flame Point,Himalayan
Ragamuffin,Himalayan Lilac Point,Himalayan
Ragdoll,Himalayan Seal Point,Himalayan
Russian Blue,Japanese Bobtail,x
Savannah,Japanese Bobtail Longhair,Japanese Bobtail
Scottish Fold,Javanese,Oriental
Selkirk Rex,Kashmir,Himalayan
Siamese,Korat,x
Siamese Cross,Kurilian Bobtail,Japanese Bobtail
Siberian,Kurilian Bobtail Long Hair,Japanese Bobtail
Singapura,Maine Coon,x
Snowshoe,Manx,x
Somali,Minskin,Mixed
Sphynx,Moggie,Non Pedigree
Tabby,Munchkin,x
Tabby (Silver),Munchkin Longhair,munchkin
Tiffanie,Nebelung,Russian Blue
Tonkinese,Norwegian Forest Cat,x
Turkish Angora,Ocicat,x
Turkish Van,Ojos Azules,Domestic Short Hair
,Ojos Azules Longhair,Domestic Long Hair
,Oriental,x
,Oriental Colorpoint,Oriental
,Oriental Longhair,Oriental
,Oriental Shorthair,Foreign Short Hair
,Other Hybrid,Mixed
,Persian,x
,Peterbald,Mixed
,Pixiebob,Domestic Short Hair
,Pixiebob Longhair,Domestic Long Hair
,Ragamuffin,x
,Ragdoll,x
,Russian Blue,x
,Safari,Savannah
,Savannah,x
,Scottish Fold,x
,Scottish Fold Longhair,Scottish Fold
,Selkirk Rex,x
,Selkirk Rex Longhair,Selkirk Rex
,Serengeti,Bengal
,Seychellois,Siamese Cross
,Siamese,x
,Siberian,x
,Singapura,x
,Snowshoe,x
,Sokoke,Domestic Short Hair
,Somali,x
,Sphynx,x
,Tabby,x
,Thai,Siamese
,Tiffany,Tiffanie
,Tonkinese,x
,Toyger,Tabby
,Turkish Angora,x
,Turkish Van,x
