pets_best,our_list,action,
Affenpinscher,Affenpinscher,x,
Afghan Hound,Afghan Hound,x,
Airedale,African Boerboel,Boerboel,
Akbash,Ainu Dog,Spitz,
Akita,Airedale Terrier,Airedale,
Alaskan Husky,Akbash,x,
Alaskan Malamute,Akita,x,
American Alaskan Spitz,Alapaha Blue Blood Bulldog,American Bulldog,
American Bandogge Mastiff,Alaskan Husky,x,
American Black and Tan Coonhound,Alaskan Klee Kai,Alaskan Husky,
American Blue Gascon Hound,Alaskan Malamute,x,
American Bulldog,Alpine Dachsbracke,**Remove from our list**,
American Cocker Spaniel,American Allaunt,American Bulldog,
American Eskimo,American Alsatian,**Remove from our list**,
American Eskimo-Miniature,American Bandogge Mastiff,x,
American Foxhound,American Barbet,Barbet,
American Indian,American Bulldog,x,
American Mastiff,American Bully,American Staffordshire Terrier,
American Mastiff (Panja),American Cocker Spaniel,x,
American Pit Bull,American English Coonhound,Coonhound-American English,
American Pitbull Terrier,American Eskimo Dog,American Eskimo,
American Royal Retriever,American Foxhound,x,
American Staffordshire Terrier,American Hairless Terrier,Rat Terrier,
American Staghound,American Indian Dog,American Indian,
American Tendra Shepherd,American Mastiff,x,
American Water Spaniel,American Pit Bull Terrier,American Pitbull Terrier,
Anatolian Shepherd,American Staffordshire Terrier,x,
Appenzeller Sennenhunde,American Water Spaniel,x,
Argentine Dogo,American White Shepherd,German Shepherd,
Australian Cattle Dog,Anatolian Shepherd Dog,Anatolian Shepherd,
Australian Dingo,Anglo-french Hounds,**Remove from our list**,
Australian Kelpie,Appenzell Mountain Dog,Appenzeller Sennenhunde,
Australian Shepherd,Appenzeller Sennenhunde,x,
Australian Shepherd-Miniature,Argentine Dogo,x,
Australian Terrier,Ariegeois,Rare Breed,
Azawakh,Armant,**Remove from our list**,
Barbet,Artois Hound,Rare Breed,
Basenji,Arubian Cunucu,**Remove from our list**,
Basset Hound,Atlas Dog,**Remove from our list**,
Beagle,Australian Cattle Dog,x,
Bearded Collie,Australian Kelpie,x,
Beauceron,Australian Shepherd,x,
Bedlington Terrier,Australian Silky Terrier,Australian Terrier,
Belgian Laekenois,Australian Terrier,x,
Belgian Malinois,Austrian Coarse-haired Hound,**Remove from our list**,
Belgian Mastiff,Austrian Hound,**Remove from our list**,
Belgian Sheepdog,Austrian Short-haired Pinscher,German Pinscher,
Belgian Shepherd,Auvergne Setter,Pointer,
Belgian Tervuren,Azawakh,x,
Bergamasco,Bagel,Designer / Hybrid,
Berger Des Pyrénées,Balkan Hound,**Remove from our list**,
Berger Picard,Banjara Greyhound,Greyhound,
Bernese Mountain Dog,Barbet,x,
Bichon Frise,Basenji,x,
Black Russian Terrier,Basset Artesien Normand,Basset Hound,
Bloodhound,Basset Griffon Vandeen,Petit Basset Griffon Ven Deen,
Blue Heeler,Basset Hound,x,
Boerboel,Bavarian Mountain Dog,Rare Breed,
Bolognese,Beabull,Designer / Hybrid,
Border Collie,Beagle,x,
Border Terrier,Beagle Harrier,Harrier,
Borzoi,Beagle Mix,Unknown / Mixed,
Boston Terrier,Bearded Collie,x,
Bouvier Des Flandres,Beauce Shepherd,Beauceron,
Boxer,Beauceron,x,
Boykin Spaniel,Bedlington Terrier,x,
Bracco Italiano,Belgian Laekenois,x,
Brazilian Fila,Belgian Malinois,x,
Briard,Belgian Sheepdog,x,
Brittany Spaniel,Belgian Shepherd,x,
Brussels Griffon,Belgian Shepherd Malinois,Belgian Malinois,
Bull Boxer,Belgian Shepherd Tervuren,Belgian Tervuren,
Bull Terrier,Belgian Tervuren,x,
Bull Terrier-Miniature,Bergamasco,x,
Bulldog,Berger De Bresse,**Remove from our list**,
Bullmastiff,Berger De Picard,Berger Picard,
Cairn Terrier,Berger De Savoie,**Remove from our list**,
Canaan,Berger Du Languedoc,**Remove from our list**,
Canary Dog,Bernese Hound,**Remove from our list**,
Canecorso,Bernese Mountain Dog,x,
Catahoula Leopard Dog,Bichon Frise,x,
Caucasian Ovtcharka,Bichon Mix,Unknown / Mixed,
Cavalier King Charles Spaniel,Bichpoo,Designer / Hybrid,
Central Asian Shepherd Dog,Biewer,**Remove from our list**,
Cesky Terrier,Billy,**Remove from our list**,
Chanille,Black and Tan Coonhound,Coonhound-Black & Tan,
Chesapeake Bay Retriever,Black Forest Hound,**Remove from our list**,
Chihuahua,Black Mouth Cur,Mountain Cur,
Chihuahua-Long-Haired,Black Russian Terrier,x,
Chinese Crested,Bloodhound,x,
Chinese Crested Powder Puff,Blue Heeler,x,
Chinese Pug,Blue Lacy,Texas Blue Lacey,
Chinook,Blue Picardy Spaniel,Rare Breed,
Chow Chow,Bluetick Coonhound,Coonhound-Blue Tick,
Cirneco dell'Etna,Boerboel,x,
Clumber Spaniel,Bolognese,x,
Cocker Spaniel,Border Collie,x,
Cocker Spaniel-Miniature,Border Collie Mix,Unknown / Mixed,
Collie,Border Terrier,x,
Collie - Smooth Coated,Borzoi,x,
